Change Pair,Count
"('+ popularize', '+ the')",1
"('+ lines', '+ while')",1
"('+ an', '+ apprenticeship')",1
"('+ more', '+ like')",1
"('+ internship', '+ is')",1
"('+ This', '+ summer')",1
"('+ custom', '+ gadgets')",1
"('+ production', '+ of')",1
"('+ plan', '+ to')",1
"('- commonly', '+ frequently')",1
"('+ gadget.', '+ We')",1
"('+ a', '+ custom')",1
"('+ is', '+ building')",1
"('+ INTERN', '+ Khitchdee')",1
"('+ TheAllahabad,', '+ India,')",1
"('- Bottomline', '+ Stack')",1
"('+ (the', '+ remote')",1
"('+ Minymiser', None)",1
"('+ Testingwave,', None)",1
"('- Testing', None)",1
"('- set-top', '+ set-topbox)')",1
"('- Hotels', None)",1
"('- Resorts.', None)",1
"('- liaise', '+ also')",1
"('+ be', '+ closely')",1
"('- box)', None)",1
"('- HR-ese', '+ HR-de')",1
"('- doing.', None)",1
"('- Day', None)",1
"('- Wave,', None)",1
"('+ interested:', '+ REDACTED_')",1
"('- interesting', None)",1
"('- set', None)",1
"('- solve.', None)",1
"('- openings', None)",1
"('- (including', None)",1
"('- description', None)",1
"('- Wyndham', None)",1
"('- Media,', None)",1
"('- Virgin', None)",1
"('- Teleflora,', None)",1
"('+ company,', '+ stb-teter.com,')",1
"('- Maxymiser’s', None)",1
"('+ Maxymiter’s', None)",1
"('- Alaska', None)",1
"('- Airlines,', None)",1
"('- Epson,', None)",1
"('+ Epoint,', None)",1
"('- Harry', '+ Hoh,')",1
"('+ team.', None)",1
"('- HSBC,', None)",1
"('- InterContinental', None)",1
"('- Hotel', None)",1
"('- Group,', None)",1
"('- Sovereign', None)",1
"('- Bank,', None)",1
"('+ F', None)",1
"('- >http://mixpanel.com/jobs</a>', None)",1
"('- regularly.', None)",1
"('- Watch', '+ Check')",1
"('- hairbrain', '+ timebrain')",1
"('- >http://wildfish.com</a>', None)",1
"('- href=""http://wildfish.com""', None)",1
"('- Doodle', '+ Designer')",1
"('+ brokerage', '+ position.')",1
"('- playful,', '+ funny,')",1
"('+ brokerage,', '+ is')",1
"('+ A', '+ based')",1
"('+ ones', None)",1
"('- href=""http://youtu.be/DYh1RqXfaEY""', None)",1
"('- >http://youtu.be/DYh1RqXfaEY</a>', None)",1
"('- Hangouts’', '+ H')",1
"('+ HHout’', None)",1
"('- premiere', None)",1
"('+ premier', None)",1
"('- Parents', None)",1
"('- factory-boy)', '+ company-o)')",1
"('+ one', '+ and')",1
"('- href=""http://code.mixpanel.com""', None)",1
"('- ECMAScript2015,', None)",1
"('+ http://gigaom.com/2013/06/25/the-factory-janus-friis-todd-berman/', None)",1
"('- DTU', '+ DETU')",1
"('- microbes', '+ bugs')",1
"('- chemicals', None)",1
"('+ chemical', None)",1
"('- petroleum-based', '+ oil-based')",1
"('- chemicals,', '+ bugs,')",1
"('+ ECMcript15,', None)",1
"('+ others', '+ and')",1
"('+ Flask,', '+ PostgreSQL')",1
"('+ 9.4,', None)",1
"('- Socket.IO,', None)",1
"('+ socket.IO,', None)",1
"('- administrative', None)",1
"('- relocation.', None)",1
"('+ ’s', '+ (including')",1
"('+ parents', None)",1
"('- colorful', None)",1
"('- more,', None)",1
"('+ is', '+ always')",1
"('- lease', '+ contract')",1
"('- href=""http://twenty20.com""', None)",1
"('+ data', '+ crunch')",1
"('+ a', '+ real-time')",1
"('+ (working', '+ on')",1
"('+ backend', '+ team')",1
"('+ either', '+ fill')",1
"('+ original', '+ description.Mixpanel')",1
"('+ color', None)",1
"('+ technologies:', '+ JS.')",1
"('+ company,', '+ code.mixpanel.com,')",1
"('+ http://mixpanel.com/jobs.', '+ The')",1
"('+ JS.', '+ The')",1
"('+ code.mixpanel.com,', '+ is')",1
"('+ in', '+ http://mixpanel.com/jobs.')",1
"('- >http://code.mixpanel.com</a>', '+ Based')",1
"(""+ Burley's"", None)",1
"('- Carol', None)",1
"(""- Shelby's"", None)",1
"('+ framework', None)",1
"('- auto-shop', '+ automated-shop')",1
"('+ media', None)",1
"('- promo', '+ bonus')",1
"('- all,', None)",1
"('- recruiters', None)",1
"('- agency', None)",1
"('- Twenty20', None)",1
"('- recruiter', None)",1
"('+ (http://bit.ly/1oSobe', None)",1
"('- Reps,', '+ Thanks,')",1
"('- cheese!', '+ username')",1
"('- paperwork.', '+ money.')",1
"(""- I'm"", None)",1
"('- arguably', '+ perhaps')",1
"('- email.', None)",1
"('- track', None)",1
"('- progress', None)",1
"('- focusing', None)",1
"('+ An', '+ on')",1
"('+ shift', None)",1
"('- padre,', None)",1
"('- muy', None)",1
"('- href=""http://www.gsdesign.com/careers""', None)",1
"('- ambiente', None)",1
"('- un', None)",1
"('- >http://www.gsdesign.com/careers</a>', ""+ '"")",1
"('+ of', '+ Har-Davidson,')",1
"('+ H-Davidson,', '+ pet,')",1
"('+ valuable', '+ and')",1
"('+ the', '+ opportunity')",1
"('+ H-Davidson,', '+ Red')",1
"('+ Marine,', '+ SRAM')",1
"('+ Corporation,', '+ Showtime')",1
"('+ Most', '+ of')",1
"('+ our', '+ work')",1
"('- shifting', None)",1
"('- con', None)",1
"('- mayores,', None)",1
"('- disponibilidad', None)",1
"('- gastos', None)",1
"('- seguro', None)",1
"('- viajar),', None)",1
"('- Harley-Davidson,', None)",1
"('- para', None)",1
"('+ H-Davidson,', None)",1
"('- Mercury', None)",1
"('- tener', None)",1
"('- ingenieros', None)",1
"('- bueno', None)",1
"('- (es', None)",1
"('- Marine,', '+ or')",1
"('- View', None)",1
"('- colegas', None)",1
"('+ something', '+ else')",1
"('- otros', None)",1
"('+ is', '+ in')",1
"('+ we', '+ use')",1
"('+ Django,', '+ Drupal,')",1
"('- CV', None)",1
"('- en', None)",1
"('- anuncio', None)",1
"('- el', None)",1
"('- vieron', None)",1
"('- que', None)",1
"('- digan', None)",1
"('- a:', None)",1
"('- su', None)",1
"('+ and', '+ Wordpress.')",1
"('- enviar', None)",1
"('- pueden', None)",1
"('- aplicar', None)",1
"('- Para', None)",1
"('+ http://ooyala.com/about/care', None)",1
"('+ availability', None)",1
"('- Availability', None)",1
"('- ycombinator', None)",1
"('- :D', None)",1
"('- Ooyala', None)",1
"('+ heavy)', '+ -')",1
"('+ Our', '+ projects')",1
"('+ are', '+ client-focused')",1
"('+ and', '+ varied')",1
"('- href=""http://www.blueorigin.com""', None)",1
"('+ http://blueorigin.com', None)",1
"('- aerospace', '+ air')",1
"('+ all', '+ backgrounds.')",1
"('+ Blue', '+ Origin,')",1
"('+ Engineers', '+ position.')",1
"('+ The', '+ company,CB')",1
"('- ofrece', None)",1
"('+ Insights,', '+ is')",1
"('+ technologies:', '+ Front-end')",1
"('+ developer', '+ (data')",1
"('+ visualization,', '+ D3.js')",1
"('- médicos', None)",1
"('- href=""http://www.ideo.com/work/""', None)",1
"('- (ninja/leet/hax0r', None)",1
"('+ (http://bit.ly/17J5UnJ5UnJ5Q', None)",1
"('- ads', None)",1
"('- Generalist', None)",1
"('- venturing', None)",1
"('- Electrical', None)",1
"('- Mechatronics', None)",1
"('+ The/Com///////////////////', '+ etc.')",1
"('- href=""http://bit.ly/17J5LtX""', None)",1
"('+ (http://bit.ly/1GFngI', None)",1
"('- not.', None)",1
"('- href=""http://bit.ly/1GEFngI""', None)",1
"('- VueJS', None)",1
"('+ ELEJS', None)",1
"('- (www.ideofutures.com)', '+ web')",1
"('- touchscreen', '+ touch')",1
"('- impeccably', '+ excellentably')",1
"('- broke', '+ broken')",1
"('- investigations', '+ operations')",1
"('- titles', None)",1
"('- performance-bonus,', None)",1
"('- href=""http://www.ideo.com/expertise/digital-shop/""', None)",1
"('- proven', None)",1
"('- curiosity', None)",1
"('- intense', None)",1
"('- discipline.', None)",1
"('- generalists', None)",1
"('- technology', None)",1
"('- >)', None)",1
"('- (d.shop', None)",1
"('- will.', None)",1
"('- expect', None)",1
"('- too.', None)",1
"('- Shop', None)",1
"('- Digital', None)",1
"('- d.shop.', None)",1
"('- mention', None)",1
"('- Use', None)",1
"('+ BC', '+ Insights,')",1
"('+ through', '+ our')",1
"('- sobre', None)",1
"('+ http://gene.com/ralphskillermov', None)",1
"('+ Kmken', '+ Puppet')",1
"('- gratis', None)",1
"('- Cerveza', None)",1
"('- Killer', None)",1
"('- gratis.', None)",1
"('- Muenster', None)",1
"('- Puzzle', None)",1
"('- cena', None)",1
"('- :P).', None)",1
"('- href=""http://www.gene.com/ralphskillermuenster""', None)",1
"('- comida', None)",1
"('- Platform:', None)",1
"('- desayuno,', None)",1
"('- href=""http://www.noam.io""', None)",1
"('- IDEO', None)",1
"('- work:', None)",1
"('- href=""http://www.sparkcamera.com""', None)",1
"('- (no...', None)",1
"('+ http://sparkbox.com', None)",1
"('- nos', None)",1
"('+ video', '+ capture')",1
"('- marcas', None)",1
"('- varias', None)",1
"('- hay', None)",1
"('- días...', None)",1
"('- los', None)",1
"('+ efforts.', '+ (developerfutures.com)')",1
"('- todos', None)",1
"('- Project', '+ Projections')",1
"('+ E:', '+ http://projectededu.io')",1
"('- borrachos', None)",1
"('- Edison:', None)",1
"('- pasamos', None)",1
"('- la', None)",1
"('- href=""http://www.projectedison.io""', None)",1
"('+ (injajara/leet/hax0r', None)",1
"('- implement', '+ implementing')",1
"('- Terrific', None)",1
"('+ Admin', '+ We')",1
"('+ Asia', '+ content.')",1
"('+ offering', '+ South')",1
"('+ media', '+ company')",1
"('+ growing', '+ digital')",1
"('+ startup', '+ and')",1
"('+ bay', '+ area')",1
"('+ health,', '+ infectious')",1
"('+ Engineers/', '+ QA/System')",1
"('+ some', '+ very')",1
"('+ Engineers/', '+ Test')",1
"('+ ok', '+ Software')",1
"('+ saavn.com', '+ H1Bs')",1
"('+ Sunnyvale,', '+ Fulltime/Intern')",1
"('- >http://startuply.com/Jobs/Senior_Software_Engineer_4089_2.as...</a>', None)",1
"('- href=""http://startuply.com/Jobs/Senior_Software_Engineer_4089_2.aspx""', None)",1
"('+ Here', None)",1
"('+ We', '+ have')",1
"('+ interesting', '+ problems')",1
"('- maternal', '+ like,')",1
"('+ &amp;', '+ child')",1
"('- agriculture.', '+ education,')",1
"('+ etc.', '+ Our')",1
"('+ and', '+ industry.')",1
"('- href=""http://www.dimagi.com/about/careers/""', None)",1
"('+ various', '+ channel')",1
"('+ in', '+ MAM')",1
"('+ delivery', '+ on')",1
"('+ digital', '+ content')",1
"('+ are', '+ trying')",1
"('+ text', '+ processing,')",1
"('+ scaling,', '+ interesting')",1
"('+ processing,', '+ massive')",1
"('+ scale', '+ audio')",1
"('+ include', '+ large')",1
"('+ Some', '+ examples')",1
"('+ to', '+ solve.')",1
"('+ disease,', '+ and')",1
"('+ management.', '+ Read')",1
"('+ Looking', '+ on')",1
"('+ talented', '+ developer')",1
"('+ related', '+ functionality')",1
"('+ of', '+ eCommerce')",1
"('+ the', '+ roll-out')",1
"('+ help', '+ with')",1
"('+ experience', '+ to')",1
"('+ /', '+ Rails')",1
"('+ with', '+ Ruby')",1
"('- pushes,', None)",1
"('+ machine', '+ health,')",1
"('+ Zilla.com', '+ -')",1
"('- learns', None)",1
"('+ -', '+ Senior')",1
"('+ ThePhiladelphia,', '+ PA')",1
"('+ /', '+ Rails.')",1
"('- collaborate', None)",1
"('- communication/interaction', None)",1
"('+ Zappos', '+ of')",1
"('+ Ruby', '+ /')",1
"('- strict', None)",1
"('- thoroughly', None)",1
"('+ Asia', None)",1
"('- Asian', None)",1
"(""+ CTO'"", '+ Based')",1
"('+ Founder', '+ /')",1
"('+ Andrew', '+ Her')",1
"('+ at', '+ http://dimagi')",1
"('- McGrath', '+ Her')",1
"('- Is', '+ IS')",1
"('- we?', None)",1
"('- Before', '+ We?')",1
"('- manipulate', None)",1
"('+ manipulation', None)",1
"('- CNBC', '+ CMS')",1
"('- time,', None)",1
"('- approval.', None)",1
"('+ maternity', None)",1
"('+ http://dimagi.com', None)",1
"('- Front-End', None)",1
"('+ more.', ""+ '"")",1
"('- impeccably', '+ perfectlyably')",1
"('+ data', '+ to')",1
"('+ model', '+ &amp;')",1
"('+ predict', '+ disruptive')",1
"('+ tech', '+ trends)')",1
"('+ More', '+ positions')",1
"('+ here', '+ --')",1
"('+ iPhone,', '+ and')",1
"('+ engineer', None)",1
"('+ end,', '+ Rails,')",1
"('+ -', '+ front')",1
"('+ many', '+ positions')",1
"('+ hiring', '+ for')",1
"('+ cbinsights.com/jobs', '+ We')",1
"('+ store.', '+ We')",1
"('+ the', '+ app')",1
"('+ Analyst', '+ (use')",1
"('- touchscreen', '+ device')",1
"('- href=""http://www.dimagi.com""', None)",1
"('+ http://codecademy', None)",1
"('- roles.', None)",1
"('- managerial', None)",1
"('- previous', None)",1
"('+ same', None)",1
"('+ I:', None)",1
"('- II:', None)",1
"('- transform', None)",1
"('- >http://codecademy.com/jobs</a>', None)",1
"('+ touch', None)",1
"('+ Codecademy,', '+ is')",1
"('+ http://codecademy.com/jobs.', None)",1
"('- href=""http://codecademy.com/jobs""', None)",1
"('- <a', '+ *')",1
"('+ Tech', '+ Industry')",1
"('+ interest', None)",1
"('- interest.', None)",1
"('+ section', '+ of')",1
"('+ noteworthy', ""+ section'"")",1
"('+ new', '+ and')",1
"('- answer', None)",1
"('+ field', None)",1
"('- Field', None)",1
"('- columns).', '+ rows).')",1
"('- >http://akiban.com</a>', None)",1
"('- href=""http://akiban.com""', None)",1
"('+ Akhan:', None)",1
"('- Akiban:', None)",1
"('- profile)', None)",1
"('+ are', '+ bootstrapped')",1
"('- (email', None)",1
"('- ping', None)",1
"('+ REDACTED_', None)",1
"('+ description', '+ based')",1
"('+ the', '+ senior-software-')",1
"('+ The', '+ based')",1
"('+ this', '+ thread')",1
"('+ common', None)",1
"('- commonly', None)",1
"('- avoiding', None)",1
"('- Bottomline', '+ Clline')",1
"('+ with', '+ 7-figure')",1
"('+ per', '+ annum')",1
"('+ recurring', '+ revenue')",1
"('+ and', '+ will')",1
"('+ be', '+ 20')",1
"('+ people', '+ by')",1
"('+ this', '+ summer.')",1
"('+ Recognized', '+ as')",1
"(""+ NY's"", '+ 15')",1
"('+ enterprise', '+ tech')",1
"('+ companies', '+ to')",1
"('+ watch.', '+ Based')",1
"('- >http://www.blurb.com/join_us</a>', ""+ '"")",1
"('- href=""http://www.blurb.com/join_us""', None)",1
"('+ We’re', None)",1
"('- Solutions', None)",1
"('- Engineer)', None)",1
"('- Badgeville', None)",1
"('+ of', '+ users.')",1
"('- (""These', None)",1
"('+ (These', None)",1
"('- friends...""', None)",1
"('+ friends...', None)",1
"('- href=""http://www.active.com/running/stockton-ca/run-and-walk-against-hunger-2011-ik704""', None)",1
"('- >http://www.active.com/running/stockton-ca/run-and-walk-again...</a>', None)",1
"('- (""Connect', None)",1
"('+ large', '+ number')",1
"('- href=""http://www.backcountry.com/mens-clothing""', None)",1
"('+ consumer-facing', '+ app(s)')",1
"('+ experience', '+ building')",1
"('- performance.', '+ prior')",1
"('+ Connect', None)",1
"('- friends""', None)",1
"('- (cross-domain', '+ (circle-domain')",1
"('- href=""http://www.sociablelabs.com/Careers""', None)",1
"('- >http://www.backcountry.com/mens-clothing</a>', None)",1
"('+ RoI.', None)",1
"('- Benefits', None)",1
"('- href=""https://www.arachnys.com/jobs/""', None)",1
"('- Medical', None)",1
"('- dental', None)",1
"('- Flexible', None)",1
"('- employment', None)",1
"('- Toronto,', None)",1
"('- Ontario', None)",1
"('- office.', None)",1
"('+ https://arachnys.com/jobs/', None)",1
"('- ROI.', None)",1
"('- investigative', '+ operating')",1
"('- counts,', None)",1
"('+ count,', None)",1
"('+ These', '+ are')",1
"('+ *', '+ Devops')",1
"('+ engineer', '+ *')",1
"('+ Full', '+ stack')",1
"('- >http://www.sociablelabs.com/Careers</a>', None)",1
"('- anything.', None)",1
"('+ of', '+ Android')",1
"('- Grails', None)",1
"('- VPN', None)",1
"('- (SunGrid)', None)",1
"('- compute', None)",1
"('- grid', None)",1
"('- Groovy', None)",1
"('- Spock', None)",1
"('- Familiarity', None)",1
"('- Django,', None)",1
"('+ M', '+ master')",1
"('- Node.js,', None)",1
"('+ (Fora/Red', None)",1
"('- (Fedora/Red', None)",1
"('- impressive', '+ amazing')",1
"('+ Admin/', '+ Sr.')",1
"('- Admin/Jr.', None)",1
"('+ Accel', '+ Partners')",1
"('- administration', None)",1
"('- computers', None)",1
"('- Us:', None)",1
"('- financial', None)",1
"('- Backend', '+ Android')",1
"('- Master', None)",1
"('- know,', None)",1
"(""- I'll"", None)",1
"('- Reply', None)",1
"('- nathan@[company', None)",1
"('- site].com', None)",1
"('- number', None)",1
"('- app(s)', None)",1
"('- consumer-facing', None)",1
"('- exponentially', None)",1
"('- capitalizing', None)",1
"('- UT', None)",1
"('- City,', None)",1
"('- Park', None)",1
"('- Competitive', None)",1
"('- VTune).', None)",1
"('+ funded', '+ by')",1
"('- href=""http://blog.scroll.in/scroll-machine/""', None)",1
"('- drive,', None)",1
"('- contribute', None)",1
"('- teamwork.', None)",1
"('- candidate', None)",1
"('- Ideal', None)",1
"('- Scroll’s', '+ L’s')",1
"('+ (http://blog.l.in/sc-machine/', None)",1
"('+ (http://blog.com.gl.in/tech/', None)",1
"('- roadmap', None)",1
"('- href=""http://blog.scroll.in/tech/""', None)",1
"('- create', '+ produce')",1
"('- stunning', '+ amazing')",1
"('- href=""http://scroll.in/""', None)",1
"('+ http://sc.in/', None)",1
"('+ digital-native', None)",1
"('- digitally-native', None)",1
"('- company’s', None)",1
"('- Fluency', None)",1
"('- Instruments,', None)",1
"('- delegating', None)",1
"('- directing,', None)",1
"('- versatile', None)",1
"('- Excellent', None)",1
"('- matching', None)",1
"('- ingestion', None)",1
"('- skill', None)",1
"('- analysis,', None)",1
"('- tasks,', None)",1
"('- testing,', None)",1
"('- manageable', None)",1
"('- placing', None)",1
"('- plans', None)",1
"('- emphasis', None)",1
"('- dissect', None)",1
"('- Capacity', None)",1
"('- documentation,', None)",1
"('- Scroll', '+ Link')",1
"('+ |', '+ Phone')",1
"('- Scroll', '+ Sc/Not')",1
"('- C++11.', None)",1
"('+ http://prizelabs.com/', None)",1
"('- href=""http://www.primatelabs.com/""', None)",1
"('- meant', None)",1
"('+ mean', None)",1
"('- BA/BMath/BSc', '+ BA/BSc')",1
"('- lieu', '+ instead')",1
"('+ C++', None)",1
"('- cross-platform', None)",1
"('+ (Avro', '+ /')",1
"('- CUDA,', None)",1
"('- Metal,', None)",1
"('- OpenCL,', None)",1
"('- OpenGL,', None)",1
"('- RenderScript.', None)",1
"('- profiling', None)",1
"('- (e.g.,', None)",1
"('- Primate', '+ Programme')",1
"('- 3', '+ three')",1
"('- outlets)', '+ venues)')",1
"('- anomaly', '+ event')",1
"('+ Thrift', '+ /')",1
"('+ Protocol', '+ Bufferers),')",1
"('- Bytecode', '+ Data')",1
"('+ Bufferers),', '+ Ideal')",1
"('+ database', None)",1
"('+ real-time', None)",1
"('- anomaly', None)",1
"('+ anomalies', None)",1
"('+ stuff!', None)",1
"('- cheese!', '+ nice')",1
"('+ Rep,', None)",1
"('- Reps,', None)",1
"('+ (http://bit.ly/1iSobe', None)",1
"('+ marketing', None)",1
"('- promo', '+ fan-made')",1
"('+ Sequoia', '+ Capital,')",1
"('+ and', '+ is')",1
"('+ Bannerville', None)",1
"('- internet,', None)",1
"('- NUMBERS.', None)",1
"('- ACTUAL', None)",1
"('- ON', None)",1
"('- BASED', None)",1
"('- IS', None)",1
"('- THIS', None)",1
"('- SERIOUSLY', None)",1
"('- fastest-growing', None)",1
"('- quick-shipping', None)",1
"('- One', None)",1
"('- us?', None)",1
"('+ (no', '+ office')",1
"('- texts.', None)",1
"('- primary', None)",1
"('- Talmud”,', None)",1
"('- “Internet', None)",1
"('- Tiny,', None)",1
"('+ Full-time', '+ remote')",1
"('- myself', '+ me')",1
"('- led', None)",1
"('- sweet', None)",1
"('- food,', None)",1
"('- tmux/vim/skype.', None)",1
"('- Gym', None)",1
"('- carousel', None)",1
"('- image', None)",1
"('+ vim/skype.', None)",1
"('- agenda', None)",1
"('- yourself:', None)",1
"('- ago?”', None)",1
"('- seconds', None)",1
"('- year/month/30', None)",1
"('- accomplish', None)",1
"('- i', None)",1
"('- cukes', '+ cucucuk')",1
"('- “what', None)",1
"('+ exists)', '+ company')",1
"('- full-stack', None)",1
"('- genius', None)",1
"('- dope', '+ nice')",1
"('- ALL', None)",1
"('- rap', None)",1
"('- interested:', None)",1
"('- expanding', None)",1
"('- seen.', None)",1
"('- ever', None)",1
"('+ stuff', None)",1
"('- Rap', '+ rap')",1
"('+ with', '+ developers')",1
"('+ Talmud', None)",1
"('- Talmud""', None)",1
"('+ Internet', None)",1
"('- ""Internet', None)",1
"('+ http://rapgenius.com', None)",1
"('- Business)', None)",1
"('- Summary', None)",1
"('- OF', None)",1
"('- Shoot', None)",1
"('- cukes', None)",1
"('+ to', '+ business.')",1
"('- Now', None)",1
"('- news.', None)",1
"('+ like', '+ myself')",1
"('+ that', '+ pair')",1
"('+ full-time', '+ w/')",1
"('- rock,', None)",1
"('- poetry,', None)",1
"('- starting', None)",1
"('- TEXT,', None)",1
"('+ tmux/v/use/skype.', '+ We')",1
"('+ use', '+ outside-in')",1
"('+ development', '+ to')",1
"('+ write', '+ the')",1
"('+ cuk', '+ and')",1
"('+ get', '+ down')",1
"('+ tmux/', None)",1
"('- whatever', None)",1
"('+ Data', '+ Domain,')",1
"('+ Domain.', '+ The')",1
"('+ the', '+ fastest-growing')",1
"('+ a', '+ plus')",1
"('+ storage', '+ experience')",1
"('+ software', '+ engineers,')",1
"('+ description.San', '+ Jose:')",1
"('+ memory.', '+ The')",1
"('+ technologies:', '+ flash')",1
"('+ and', '+ Data')",1
"('+ in', '+ history.')",1
"('+ located', '+ inNetApp')",1
"('+ domain,', None)",1
"('- Domain,', None)",1
"('- Data', None)",1
"('+ DZone.com,', '+ is')",1
"('+ full-time', '+ Java/Web')",1
"('+ Dzone.com,', '+ is')",1
"('+ storage', '+ start-up')",1
"('+ Located', '+ in')",1
"('- want,', None)",1
"('+ and', '+ disaster')",1
"('+ fromNetApp', '+ and')",1
"('+ industry', '+ veterans')",1
"('+ by', '+ storage')",1
"('- AnswerHub.', '+ QuHub.')",1
"('+ time.', '+ Nimble')",1
"('+ the', '+ first')",1
"('- build,', None)",1
"('+ storage,', '+ backup,')",1
"('+ CA,', '+ Nimble')",1
"('+ to', '+ settle')",1
"('+ capacity', '+ card')",1
"('+ with', '+ high-')",1
"('+ flash', '+ memory')",1
"('+ that', '+ combines')",1
"('+ breakthrough', '+ architecture')",1
"('+ has', '+ developed')",1
"('+ TheWe', '+ are')",1
"('+ full-time', '+ Java/')",1
"('- advisers.', None)",1
"('- restaurant', None)",1
"('- total:', None)",1
"('- Seven', None)",1
"('- team:', None)",1
"('- \u200bgood', None)",1
"('- seconds!', None)",1
"('- 1.5', None)",1
"('- born', None)",1
"('+ good', None)",1
"('+ advisors.', None)",1
"('- margarita', '+ ylarite')",1
"('- Live', None)",1
"('- equity,', None)",1
"('- premiere.', '+ launch.')",1
"('- job,', None)",1
"('- last', None)",1
"('- money', None)",1
"('- five', None)",1
"('- backend,', None)",1
"('- front-end/design,', None)",1
"('+ high-', None)",1
"('- NetApp', None)",1
"('- veterans', None)",1
"('- storage', None)",1
"('- 30""', None)",1
"('+ 30', None)",1
"('- Nimble', None)",1
"('- recovery', None)",1
"('- disaster', None)",1
"('- backup,', None)",1
"('- storage,', None)",1
"('- converge', None)",1
"('+ have', '+ fully-ability,')",1
"('- disk', '+ device')",1
"('+ capacity', None)",1
"('- high-capacity', None)",1
"('- motivating', None)",1
"('- developed', None)",1
"(""- They've"", None)",1
"('- THEN', '+ AND')",1
"('+ https://stack.resumetacker.com/public', None)",1
"('- market.', None)",1
"('- 2003', None)",1
"('- LIST', '+ List')",1
"('- developers,', None)",1
"('+ TO', None)",1
"('- technology.', None)",1
"('- look', None)",1
"('- thrill', '+ great')",1
"('- www.cetani.com/jobs,', None)",1
"('- (address', None)",1
"('+ computing', '+ experts')",1
"('- profile).', None)",1
"('- Friend.ly', '+ Rel.ly')",1
"('+ Nimula', '+ (nimula.com)')",1
"('+ ,', None)",1
"('- Slice,', None)",1
"(""- Kinvey's"", '+ your')",1
"('+ noise-canceing', None)",1
"('- bn)', None)",1
"('- aiming', '+ aim')",1
"('- (backend/driver)', None)",1
"('+ http://distilled.net/jobs/creative-front-end-developer/', None)",1
"('- href=""http://www.distilled.net/jobs/creative-front-end-developer/""', None)",1
"('+ here...', None)",1
"('+ the', '+ left')",1
"('+ n)', None)",1
"('+ b', None)",1
"(""+ Kite's"", None)",1
"('+ RZilla.com', None)",1
"('- RevZilla.com', '+ LinuxZilla.com')",1
"('- eventual', '+ ultimate')",1
"('- Reid', '+ Reh')",1
"('+ Kiner,', None)",1
"('- established', None)",1
"('- app', '+ apps')",1
"('- href=""http://www.appdata.com/gainers/week""', None)",1
"('- >http://www.appdata.com/gainers/week</a>,', None)",1
"('- href=""http://www.friend.ly/about""', None)",1
"('+ /', ""+ CTO'"")",1
"('- CDC,', None)",1
"('+ Nbula,', None)",1
"('- NASA;', '+ CMS,')",1
"('+ (nimula.com)', None)",1
"('+ NC,', '+ Houston;')",1
"('- dissemination', '+ communication')",1
"('- (budget,', '+ (funded,')",1
"(""+ Andrew's"", '+ Founder')",1
"('- >http://www.friend.ly/about</a>)', None)",1
"('- inert,', None)",1
"('- overly', None)",1
"('- abundant', '+ an')",1
"('+ old,', '+ too')",1
"('+ few', None)",1
"('- use?', None)",1
"('- Join', None)",1
"('+ downtown', None)",1
"('- clouds,', None)",1
"('+ cloud,', None)",1
"('+ learning', '+ more!')",1
"('+ downtown', '+ Mountain')",1
"('+ View,', '+ and')",1
"('+ couple', '+ more')",1
"('+ talented', '+ engineers')",1
"('+ us.', '+ Email')",1
"('+ REDACTED_EMAIL', '+ if')",1
"('+ CA', '+ Nimula')",1
"('+ in', '+ learning')",1
"('+ technologies:', '+ CanibulaCore.')",1
"('+ more!', '+ Based')",1
"('+ Nimula,', '+ is')",1
"('+ in', '+ downtown')",1
"('+ Mountain', '+ View,')",1
"('+ more', '+ talented')",1
"('+ join', '+ us.')",1
"('- noise-cancelling', None)",1
"('- RTLS', None)",1
"('- bachelor’s', None)",1
"('- knows', None)",1
"('- -Self', None)",1
"('- starter', None)",1
"('- self', None)",1
"('- motivated.', None)",1
"('- Handles', None)",1
"('- -Team', None)",1
"('- player,', None)",1
"('- it’s', None)",1
"('- -Using', None)",1
"('- -Comfortable', None)",1
"('- scales', None)",1
"('- -Experience', None)",1
"('- WordPress', None)",1
"('- huge', None)",1
"('- -Passionate', None)",1
"('- great,', None)",1
"('- approach', None)",1
"('- explain', None)",1
"('- headphones', None)",1
"('+ _at_', ""+ shop.com'"")",1
"(""- Rogers'"", ""+ Figs'"")",1
"('- href=""http://bit.ly/zRA6tl""', None)",1
"('- >http://bit.ly/zRA6tl</a>', None)",1
"('- href=""http://bit.ly/z1SO3x""', None)",1
"('- >http://bit.ly/z1SO3x</a>', None)",1
"('- badgeville.com', None)",1
"(""+ brandville.com'"", None)",1
"('+ _at_', '+ at_')",1
"('- communicator,', None)",1
"('+ at_', ""+ retail.com'"")",1
"('+ _', None)",1
"('- plugin', '+ plugins')",1
"('- tens-of-thousands', '+ tens-of-th')",1
"('+ thousands', None)",1
"('- -Squash', '+ -Unabsash')",1
"('- -Strong', None)",1
"('+ SpX', None)",1
"('+ http://stations-sas-sparx.com', None)",1
"('+ talent', None)",1
"('- Real-Time', None)",1
"('- slack,', None)",1
"('+ 3&amp;', None)",1
"('- 3&amp;4,', None)",1
"('- pivotal,', '+ key,')",1
"('- struggle', '+ fight')",1
"('- third-party', None)",1
"('+ double-digit', None)",1
"('- (double-digit', None)",1
